date_time,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance 280-440,Global Horizontal UV Irradiance 295-385,pv
2018/10/1 0:00,0,0,0,0,0,0,6,13.4,143.2,100,0.1,0.7,2.3,182,80.76,16.7,1020,0,0,0.420177013
2018/10/1 0:30,0,0,0,0,0,0,6,13.4,145.13,100,0.1,0.8,2.4,179,81.78,16.5,1020,0,0,0.420177013
2018/10/1 1:00,0,0,0,0,0,0,4,13.4,145.75,100,0.1,1,2.4,177,83.03,16.3,1020,0,0,0.420177013
2018/10/1 1:30,0,0,0,0,0,0,4,13.4,145,100,0.1,1.1,2.5,176,84.09,16.1,1020,0,0,0.420177013
2018/10/1 2:00,0,0,0,0,0,0,4,13.4,142.97,100,0.1,1.2,2.6,175,85.21,15.9,1020,0,0,0.420177013
2018/10/1 2:30,0,0,0,0,0,0,4,13.4,139.86,100,0.1,1.2,2.7,177,86.3,15.7,1020,0,0,0.420177013
2018/10/1 3:00,0,0,0,0,0,0,4,13.4,135.89,100,0.1,1.3,2.8,179,87.39,15.5,1020,0,0,0.420177013
2018/10/1 3:30,0,0,0,0,0,0,4,13.4,131.29,100,0.1,1.4,2.8,181,87.95,15.4,1020,0,0,0.420177013
2018/10/1 4:00,0,0,0,0,0,0,4,13.4,126.24,100,0.1,1.4,2.9,182,88.73,15.3,1020,0,0,0.420177013
2018/10/1 4:30,0,0,0,0,0,0,4,13.4,120.85,100,0.1,1.4,2.9,180,88.73,15.3,1020,0,0,0.420177013
2018/10/1 5:00,0,0,0,0,0,0,4,13.5,115.23,100,0.1,1.3,2.9,179,89.03,15.3,1020,0,0,-0.067208853
2018/10/1 5:30,0,0,0,0,0,0,4,13.5,109.45,100,0.1,1.3,2.9,176,88.46,15.4,1020,0,0,-0.084093498
2018/10/1 6:00,0,0,0,0,0,0,4,13.5,103.57,100,0.1,1.2,3,173,88.07,15.5,1020,0,0,-0.083976261
2018/10/1 6:30,0,0,0,0,0,0,4,13.5,97.64,100,0.1,1.2,3,171,87.51,15.6,1020,0,0,-0.084463133
2018/10/1 7:00,1,7,1,2,15,2,4,13.6,91.69,100,0.1,1.1,3,169,87.07,15.7,1020,0,0,-0.084126778
2018/10/1 7:30,21,7,22,28,245,47,4,13.6,85.59,100,0.1,1.2,3,165,84.34,16.2,1020,0,0,0.076523004
2018/10/1 8:00,61,19,64,48,461,129,4,13.6,79.82,100,0.1,1.3,3.1,161,82.02,16.7,1021,3.0509,2.3254,1.109910617
2018/10/1 8:30,104,59,120,60,598,224,4,13.6,74.1,100,0.1,1.3,3.1,159,77.49,17.6,1021,5.9154,4.5532,3.669956617
2018/10/1 9:00,124,38,138,68,690,321,4,13.1,68.51,14,0.1,1.3,3.1,158,70.39,18.6,1021,7.1575,5.5525,4.406909967
2018/10/1 9:30,125,0,125,75,752,415,4,13.1,63.14,0,0.1,1.4,3.1,158,64.93,19.9,1021,6.7559,5.2661,3.480887133
2018/10/1 10:00,157,2,158,80,798,502,4,11.8,58.05,0,0.1,1.4,3.1,159,55.47,21.1,1021,8.8064,6.8851,6.9019646
2018/10/1 10:30,154,6,158,83,832,580,4,11.8,53.36,0,0.1,1.5,3.2,160,52.83,21.9,1021,9.0067,7.0554,9.15401545
2018/10/1 11:00,243,29,262,84,858,645,4,11.1,49.19,0,0.1,1.5,3.2,161,47.72,22.8,1020,15.1801,11.9067,4.444509417
2018/10/1 11:30,310,99,379,86,876,698,4,11.1,45.68,0,0.1,1.5,3.2,171,45.75,23.5,1020,22.2126,17.4377,18.87859017
2018/10/1 12:00,329,237,502,86,890,737,4,10.7,43.02,0,0.1,1.5,3.2,181,42.72,24.2,1020,29.6451,23.2851,20.23755478
2018/10/1 12:30,323,97,396,87,896,759,4,10.7,41.37,0,0.1,1.7,3.2,193,41.97,24.5,1020,23.4853,18.4524,8.820832817
2018/10/1 13:00,303,60,348,87,898,766,4,10.9,40.85,0,0.1,1.9,3.2,205,41.54,24.8,1020,20.6651,16.2379,7.469983317
