date_time,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance 280-440,Global Horizontal UV Irradiance 295-385,pv
2017/10/1 0:00,0,0,0,0,0,0,3,12,143.31,0,0.107,1,1.219,273.5,96.6,15,1020,0,0,-0.085590681
2017/10/1 0:30,0,0,0,0,0,0,3,12,145.23,0,0.107,1,1.195,273.5,96.58,14,1020,0,0,-0.083733183
2017/10/1 1:00,0,0,0,0,0,0,1,12,145.85,0,0.107,1,1.172,297.6,95.18,14,1020,0,0,-0.083010462
2017/10/1 1:30,0,0,0,0,0,0,0,12,145.1,0,0.107,1,1.142,297.6,95.18,14,1020,0,0,-0.083932976
2017/10/1 2:00,0,0,0,0,0,0,0,11,143.06,1,0.107,1.1,1.113,317.6,92.08,14,1020,0,0,-0.084137436
2017/10/1 2:30,0,0,0,0,0,0,0,11,139.93,0,0.107,1.1,1.093,317.6,98.3,14,1020,0,0,-0.084623798
2017/10/1 3:00,0,0,0,0,0,0,1,11,135.96,0,0.107,1.2,1.074,321.4,94.2,14,1020,0,0,-0.084323953
2017/10/1 3:30,0,0,0,0,0,0,0,11,131.35,0,0.107,1.2,1.071,321.4,94.19,14,1020,0,0,-0.084321349
2017/10/1 4:00,0,0,0,0,0,0,1,10,126.28,0,0.107,1.4,1.068,320.7,92.03,14,1020,0,0,-0.084289586
2017/10/1 4:30,0,0,0,0,0,0,1,10,120.89,0,0.107,1.4,1.086,320.7,92.05,13,1020,0,0,-0.084623451
2017/10/1 5:00,0,0,0,0,0,0,1,10,115.27,0,0.107,1.5,1.104,320.7,92.5,13,1020,0,0,-0.083912437
2017/10/1 5:30,0,0,0,0,0,0,1,10,109.49,0,0.107,1.6,1.127,320.7,92.52,13,1020,0,0,-0.083977753
2017/10/1 6:00,0,0,0,0,0,0,1,10,103.61,0,0.107,1.8,1.15,322.7,93.35,13,1020,0,0,-0.085056488
2017/10/1 6:30,0,0,0,0,0,0,1,10,97.67,0,0.107,1.8,1.173,322.7,93.37,13,1020,0,0,-0.084530901
2017/10/1 7:00,0,0,0,0,0,0,1,10,91.72,0,0.107,1.9,1.196,324.5,93.21,14,1020,0,0,-0.340502425
