date_time,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance 280-440,Global Horizontal UV Irradiance 295-385,pv,year_month,is_elnino_period
2017-01-01 00:00:00,0,0,0,0,0,0,1,7.0,165.28,0,0.098,1.9,1.397,252.1,100.0,8.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 00:30:00,0,0,0,0,0,0,1,7.0,165.03,0,0.098,1.8,1.336,252.1,100.0,8.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 01:00:00,0,0,0,0,0,0,3,7.0,162.26,0,0.098,1.7,1.276,249.6,100.0,8.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 01:30:00,0,0,0,0,0,0,3,6.0,157.92,0,0.098,1.6,1.238,249.6,100.0,8.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 02:00:00,0,0,0,0,0,0,3,6.0,152.75,0,0.098,1.6,1.2,247.7,100.0,8.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 02:30:00,0,0,0,0,0,0,4,6.0,147.17,0,0.098,1.6,1.172,247.7,100.0,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 03:00:00,0,0,0,0,0,0,4,6.0,141.37,0,0.098,1.7,1.145,251.4,100.0,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 03:30:00,0,0,0,0,0,0,3,6.0,135.47,0,0.098,1.7,1.114,251.4,100.0,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 04:00:00,0,0,0,0,0,0,3,6.0,129.52,0,0.098,1.7,1.084,252.5,100.0,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 04:30:00,0,0,0,0,0,0,3,4.0,123.57,0,0.098,1.6,1.065,252.5,100.0,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 05:00:00,0,0,0,0,0,0,3,4.0,117.66,0,0.098,1.6,1.047,251.6,100.0,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 05:30:00,0,0,0,0,0,0,3,4.0,111.82,0,0.098,1.6,1.039,251.6,100.0,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
2017-01-01 06:00:00,0,0,0,0,0,0,3,4.0,106.06,0,0.098,1.6,1.031,252.2,100.0,7.0,1020,0.0,0.0,-0.084945031,2017-01,False
